,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex,label
0,39.1,18.7,181.0,3750.0,MALE,0
1,39.5,17.4,186.0,3800.0,FEMALE,2
2,40.3,18.0,195.0,3250.0,FEMALE,2
4,36.7,19.3,193.0,3450.0,FEMALE,2
5,39.3,20.6,190.0,3650.0,MALE,0
6,38.9,17.8,181.0,3625.0,FEMALE,2
7,39.2,19.6,195.0,4675.0,MALE,0
12,41.1,17.6,182.0,3200.0,FEMALE,2
13,38.6,21.2,191.0,3800.0,MALE,0
15,36.6,17.8,185.0,3700.0,FEMALE,2
16,38.7,19.0,195.0,3450.0,FEMALE,2
17,42.5,20.7,197.0,4500.0,MALE,0
18,34.4,18.4,184.0,3325.0,FEMALE,2
19,46.0,21.5,194.0,4200.0,MALE,0
20,37.8,18.3,174.0,3400.0,FEMALE,2
21,37.7,18.7,180.0,3600.0,MALE,0
22,35.9,19.2,189.0,3800.0,FEMALE,2
23,38.2,18.1,185.0,3950.0,MALE,0
24,38.8,17.2,180.0,3800.0,MALE,0
25,35.3,18.9,187.0,3800.0,FEMALE,2
26,40.6,18.6,183.0,3550.0,MALE,0
27,40.5,17.9,187.0,3200.0,FEMALE,2
28,37.9,18.6,172.0,3150.0,FEMALE,2
29,40.5,18.9,180.0,3950.0,MALE,0
30,39.5,16.7,178.0,3250.0,FEMALE,2
31,37.2,18.1,178.0,3900.0,MALE,0
32,39.5,17.8,188.0,3300.0,FEMALE,2
33,40.9,18.9,184.0,3900.0,MALE,0
34,36.4,17.0,195.0,3325.0,FEMALE,2
35,39.2,21.1,196.0,4150.0,MALE,0
36,38.8,20.0,190.0,3950.0,MALE,0
37,42.2,18.5,180.0,3550.0,FEMALE,2
38,37.6,19.3,181.0,3300.0,FEMALE,2
39,39.8,19.1,184.0,4650.0,MALE,0
40,36.5,18.0,182.0,3150.0,FEMALE,2
41,40.8,18.4,195.0,3900.0,MALE,0
42,36.0,18.5,186.0,3100.0,FEMALE,2
43,44.1,19.7,196.0,4400.0,MALE,0
44,37.0,16.9,185.0,3000.0,FEMALE,2
45,39.6,18.8,190.0,4600.0,MALE,0
46,41.1,19.0,182.0,3425.0,MALE,0
48,36.0,17.9,190.0,3450.0,FEMALE,2
49,42.3,21.2,191.0,4150.0,MALE,0
